id	uniprot	string	ensembl
CD86	P42081	9606.ENSP00000332049	ENSG00000114013
CD80	P33681	9606.ENSP00000264246	ENSG00000121594
ARAF	P10398	9606.ENSP00000290277	ENSG00000078061
PIK3CD	O00329	9606.ENSP00000366563	ENSG00000171608
CD3G	P09693	9606.ENSP00000431445	ENSG00000160654
PIK3CB	P42338	9606.ENSP00000501150	ENSG00000051382
CD3E	P07766	9606.ENSP00000354566	ENSG00000198851
CD3D	P04234	9606.ENSP00000300692	ENSG00000167286
PIK3CG	P48736	9606.ENSP00000419260	ENSG00000105851
IKBKB	O14920	9606.ENSP00000430684	ENSG00000104365
PPP3CA	Q08209	9606.ENSP00000378323	ENSG00000138814
PPP3CB	P16298	9606.ENSP00000378306	ENSG00000107758
PPP3CC	P48454	9606.ENSP00000380878	ENSG00000120910
GRAP2	O75791	9606.ENSP00000339186	ENSG00000100351
AKT2	P31751	9606.ENSP00000375892	ENSG00000105221
AKT3	Q9Y243	9606.ENSP00000500582	ENSG00000117020
AKT3	Q9Y243	9606.ENSP00000500582	ENSG00000275199
NCK2	O43639	9606.ENSP00000233154	ENSG00000071051
AKT1	P31749	9606.ENSP00000451828	ENSG00000142208
RAC1	P63000	9606.ENSP00000348461	ENSG00000136238
HRAS	P01112	9606.ENSP00000407586	ENSG00000174775
HRAS	P01112	9606.ENSP00000407586	ENSG00000276536
NCK1	P16333	9606.ENSP00000417273	ENSG00000158092
VAV3	Q9UKW4	9606.ENSP00000359073	ENSG00000134215
MAP2K1	Q02750	9606.ENSP00000302486	ENSG00000169032
MAP2K2	P36507	9606.ENSP00000262948	ENSG00000126934
CHUK	O15111	9606.ENSP00000359424	ENSG00000213341
FOS	P01100	9606.ENSP00000306245	ENSG00000170345
VAV1	P15498	9606.ENSP00000472929	ENSG00000141968
VAV2	P52735	9606.ENSP00000360916	ENSG00000160293
ZAP70	P43403	9606.ENSP00000264972	ENSG00000115085
ZAP70	P43403	9606.ENSP00000264972	ENSG00000291603
PIK3CA	P42336	9606.ENSP00000263967	ENSG00000121879
LCK	P06239	9606.ENSP00000477713	ENSG00000182866
LCP2	Q13094	9606.ENSP00000046794	ENSG00000043462
PIK3C3	Q8NEB9	9606.ENSP00000262039	ENSG00000078142
PRKCQ	Q04759	9606.ENSP00000263125	ENSG00000065675
SOS1	Q07889	9606.ENSP00000384675	ENSG00000115904
RAF1	P04049	9606.ENSP00000401888	ENSG00000132155
SOS2	Q07890	9606.ENSP00000216373	ENSG00000100485
ITPR1	Q14643	9606.ENSP00000306253	ENSG00000150995
PIK3R3	Q92569	9606.ENSP00000262741	ENSG00000117461
PIK3R2	O00459	9606.ENSP00000222254	ENSG00000105647
PIK3R1	P27986	9606.ENSP00000428056	ENSG00000145675
CDC42	P60953	9606.ENSP00000497733	ENSG00000070831
MAPK9	P45984	9606.ENSP00000394560	ENSG00000050748
NRAS	P01111	9606.ENSP00000358548	ENSG00000213281
PAK1	Q13153	9606.ENSP00000278568	ENSG00000149269
MAPK8	P45983	9606.ENSP00000378974	ENSG00000107643
MAPK1	P28482	9606.ENSP00000215832	ENSG00000100030
CSK	P41240	9606.ENSP00000220003	ENSG00000103653
PLCG1	P19174	9606.ENSP00000244007	ENSG00000124181
PAK3	O75914	9606.ENSP00000353864	ENSG00000077264
PAK2	Q13177	9606.ENSP00000314067	ENSG00000180370
MAPK3	P27361	9606.ENSP00000263025	ENSG00000102882
JUN	P05412	9606.ENSP00000360266	ENSG00000177606
MAP3K1	Q13233	9606.ENSP00000382423	ENSG00000095015
BRAF	P15056	9606.ENSP00000419060	ENSG00000157764
NFKBIA	P25963	9606.ENSP00000216797	ENSG00000100906
PTPRC	P08575	9606.ENSP00000411355	ENSG00000081237
PTPRC	P08575	9606.ENSP00000411355	ENSG00000262418
CD28	P10747	9606.ENSP00000324890	ENSG00000178562
CD247	P20963	9606.ENSP00000354782	ENSG00000198821
CALM1	P0DP23	9606.ENSP00000291295	ENSG00000198668
LAT	O43561	9606.ENSP00000378845	ENSG00000213658
