id	uniprot	string	ensembl
ARAF	P10398	9606.ENSP00000290277	ENSG00000078061
PIK3CD	O00329	9606.ENSP00000366563	ENSG00000171608
PIK3CB	P42338	9606.ENSP00000501150	ENSG00000051382
PIK3CG	P48736	9606.ENSP00000419260	ENSG00000105851
IKBKB	O14920	9606.ENSP00000430684	ENSG00000104365
PPP3CA	Q08209	9606.ENSP00000378323	ENSG00000138814
PPP3CB	P16298	9606.ENSP00000378306	ENSG00000107758
BLNK	Q8WV28	9606.ENSP00000224337	ENSG00000095585
RAC2	P15153	9606.ENSP00000249071	ENSG00000128340
RAC1	P63000	9606.ENSP00000348461	ENSG00000136238
HRAS	P01112	9606.ENSP00000407586	ENSG00000174775
HRAS	P01112	9606.ENSP00000407586	ENSG00000276536
VAV3	Q9UKW4	9606.ENSP00000359073	ENSG00000134215
MAP2K1	Q02750	9606.ENSP00000302486	ENSG00000169032
MAP2K2	P36507	9606.ENSP00000262948	ENSG00000126934
CHUK	O15111	9606.ENSP00000359424	ENSG00000213341
SYK	P43405	9606.ENSP00000364898	ENSG00000165025
PRKCB	P05771	9606.ENSP00000496129	ENSG00000166501
NFKBIL1	Q9UBC1	9606.ENSP00000365318	ENSG00000204498
NFKBIL1	Q9UBC1	9606.ENSP00000365318	ENSG00000206440
NFKBIL1	Q9UBC1	9606.ENSP00000365318	ENSG00000234530
NFKBIL1	Q9UBC1	9606.ENSP00000365318	ENSG00000236346
NFKBIL1	Q9UBC1	9606.ENSP00000365318	ENSG00000235125
NFKBIL1	Q9UBC1	9606.ENSP00000365318	ENSG00000236196
NFKBIL1	Q9UBC1	9606.ENSP00000365318	ENSG00000227565
PRKCD	Q05655	9606.ENSP00000331602	ENSG00000163932
FOS	P01100	9606.ENSP00000306245	ENSG00000170345
VAV1	P15498	9606.ENSP00000472929	ENSG00000141968
VAV2	P52735	9606.ENSP00000360916	ENSG00000160293
PIK3CA	P42336	9606.ENSP00000263967	ENSG00000121879
BTK	Q06187	9606.ENSP00000483570	ENSG00000010671
SOS1	Q07889	9606.ENSP00000384675	ENSG00000115904
RAF1	P04049	9606.ENSP00000401888	ENSG00000132155
SOS2	Q07890	9606.ENSP00000216373	ENSG00000100485
ITPR1	Q14643	9606.ENSP00000306253	ENSG00000150995
ITPR2	Q14571	9606.ENSP00000370744	ENSG00000123104
ITPR3	Q14573	9606.ENSP00000363435	ENSG00000096433
CD79B	P40259	9606.ENSP00000376544	ENSG00000007312
CD79A	P11912	9606.ENSP00000221972	ENSG00000105369
MAPK9	P45984	9606.ENSP00000394560	ENSG00000050748
NRAS	P01111	9606.ENSP00000358548	ENSG00000213281
MAPK8	P45983	9606.ENSP00000378974	ENSG00000107643
CD19	P15391	9606.ENSP00000313419	ENSG00000177455
PLCG2	P16885	9606.ENSP00000482457	ENSG00000197943
MAPK1	P28482	9606.ENSP00000215832	ENSG00000100030
MAPK3	P27361	9606.ENSP00000263025	ENSG00000102882
LYN	P07948	9606.ENSP00000428924	ENSG00000254087
MAP3K2	Q9Y2U5	9606.ENSP00000387246	ENSG00000169967
MAP3K3	Q99759	9606.ENSP00000354927	ENSG00000198909
JUN	P05412	9606.ENSP00000360266	ENSG00000177606
MAPK14	Q16539	9606.ENSP00000229795	ENSG00000112062
MAPK12	P53778	9606.ENSP00000215659	ENSG00000188130
MAPK13	O15264	9606.ENSP00000211287	ENSG00000156711
MAPK10	P53779	NA	ENSG00000109339
NFKBIA	P25963	9606.ENSP00000216797	ENSG00000100906
MAPK11	Q15759	9606.ENSP00000333685	ENSG00000185386
PTPRC	P08575	9606.ENSP00000411355	ENSG00000081237
PTPRC	P08575	9606.ENSP00000411355	ENSG00000262418
GRB2	P62993	9606.ENSP00000376345	ENSG00000177885
PTPN6	P29350	9606.ENSP00000391592	ENSG00000111679
CALM1	P0DP23	9606.ENSP00000291295	ENSG00000198668
CD22	P20273	9606.ENSP00000085219	ENSG00000012124
