From	Entry	Entry Name	Protein names	Gene Names	Reviewed
148398	Q96NU1	SAM11_HUMAN	Sterile alpha motif domain-containing protein 11 (SAM domain-containing protein 11)	SAMD11	reviewed
148398	A0A087WU74	A0A087WU74_HUMAN	Sterile alpha motif domain containing 11	SAMD11	unreviewed
148398	A0A087WX24	A0A087WX24_HUMAN	Sterile alpha motif domain containing 11	SAMD11	unreviewed
26155	Q9Y3T9	NOC2L_HUMAN	Nucleolar complex protein 2 homolog (Protein NOC2 homolog) (NOC2-like protein) (Novel INHAT repressor)	NOC2L NIR	reviewed
339451	Q6TDP4	KLH17_HUMAN	Kelch-like protein 17 (Actinfilin)	KLHL17 AF	reviewed
84069	Q494U1	PKHN1_HUMAN	Pleckstrin homology domain-containing family N member 1 (PH domain-containing family N member 1) (Cardiolipin and phosphatidic acid-binding protein)	PLEKHN1 CLPABP	reviewed
84808	Q5SV97	PERM1_HUMAN	PGC-1 and ERR-induced regulator in muscle protein 1 (PPARGC1 and ESRR-induced regulator in muscle 1) (Peroxisome proliferator-activated receptor gamma coactivator 1 and estrogen-related receptor-induced regulator in muscle 1)	PERM1 C1orf170	reviewed
57801	Q9HCC6	HES4_HUMAN	Transcription factor HES-4 (hHES4) (Class B basic helix-loop-helix protein 42) (bHLHb42) (Hairy and enhancer of split 4) (bHLH factor Hes4)	HES4 BHLHB42	reviewed
57801	D6REB3	D6REB3_HUMAN	Hes family bHLH transcription factor 4	HES4	unreviewed
57801	E9PB28	E9PB28_HUMAN	Hes family bHLH transcription factor 4	HES4	unreviewed
9636	P05161	ISG15_HUMAN	Ubiquitin-like protein ISG15 (Interferon-induced 15 kDa protein) (Interferon-induced 17 kDa protein) (IP17) (Ubiquitin cross-reactive protein) (hUCRP)	ISG15 G1P2 UCRP	reviewed
375790	O00468	AGRIN_HUMAN	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	AGRN AGRIN	reviewed
401934	E7ERA6	RN223_HUMAN	RING finger protein 223	RNF223	reviewed
54991	Q96HA4	CA159_HUMAN	Uncharacterized protein C1orf159	C1orf159 UNQ2998/PRO9739	reviewed
54991	Q5T2W9	Q5T2W9_HUMAN	Chromosome 1 open reading frame 159	C1orf159	unreviewed
254173	Q6ZVT0	TTL10_HUMAN	Inactive polyglycylase TTLL10 (Tubulin--tyrosine ligase-like protein 10)	TTLL10	reviewed
