id	uniprot	string	ensembl
NOTCH2	Q04721	9606.ENSP00000256646	ENSG00000134250
RBPJL	Q9UBG7	9606.ENSP00000341243	ENSG00000124232
NOTCH3	Q9UM47	9606.ENSP00000263388	ENSG00000074181
NOTCH1	P46531	9606.ENSP00000498587	ENSG00000148400
MAML1	Q92585	9606.ENSP00000292599	ENSG00000161021
MAML1	Q92585	9606.ENSP00000292599	ENSG00000283780
NOTCH4	Q99466	9606.ENSP00000364163	ENSG00000204301
NOTCH4	Q99466	9606.ENSP00000364163	ENSG00000238196
NOTCH4	Q99466	9606.ENSP00000364163	ENSG00000223355
NOTCH4	Q99466	9606.ENSP00000364163	ENSG00000234876
PSEN1	P49768	9606.ENSP00000326366	ENSG00000080815
RBPJ	Q06330	9606.ENSP00000345206	ENSG00000168214
DLL3	Q9NYJ7	9606.ENSP00000205143	ENSG00000090932
LFNG	Q8NES3	9606.ENSP00000222725	ENSG00000106003
DLL4	Q9NR61	9606.ENSP00000249749	ENSG00000128917
NCSTN	Q92542	9606.ENSP00000294785	ENSG00000162736
FUT8	Q9BYC5	9606.ENSP00000353910	ENSG00000033170
POFUT1	Q9H488	9606.ENSP00000364902	ENSG00000101346
CIR1	Q86X95	9606.ENSP00000339723	ENSG00000138433
JAG2	Q9Y219	9606.ENSP00000328169	ENSG00000184916
JAG1	P78504	9606.ENSP00000254958	ENSG00000101384
FBXW7	Q969H0	9606.ENSP00000474725	ENSG00000109670
ADAM10	O14672	9606.ENSP00000260408	ENSG00000137845
DLK1	P80370	9606.ENSP00000340292	ENSG00000185559
NCOR2	Q9Y618	9606.ENSP00000384018	ENSG00000196498
ADAM17	P78536	9606.ENSP00000309968	ENSG00000151694
MFNG	O00587	9606.ENSP00000349490	ENSG00000100060
NUMB	P49757	9606.ENSP00000451300	ENSG00000133961
