From	Entry	Reviewed	Protein names	Gene Names	Length	Entry Name
SAMD11	Q96NU1	reviewed	Sterile alpha motif domain-containing protein 11 (SAM domain-containing protein 11)	SAMD11	681	SAM11_HUMAN
NOC2L	Q9Y3T9	reviewed	Nucleolar complex protein 2 homolog (Protein NOC2 homolog) (NOC2-like protein) (Novel INHAT repressor)	NOC2L NIR	749	NOC2L_HUMAN
KLHL17	Q6TDP4	reviewed	Kelch-like protein 17 (Actinfilin)	KLHL17 AF	642	KLH17_HUMAN
PLEKHN1	Q494U1	reviewed	Pleckstrin homology domain-containing family N member 1 (PH domain-containing family N member 1) (Cardiolipin and phosphatidic acid-binding protein)	PLEKHN1 CLPABP	611	PKHN1_HUMAN
PERM1	Q5SV97	reviewed	PGC-1 and ERR-induced regulator in muscle protein 1 (PPARGC1 and ESRR-induced regulator in muscle 1) (Peroxisome proliferator-activated receptor gamma coactivator 1 and estrogen-related receptor-induced regulator in muscle 1)	PERM1 C1orf170	790	PERM1_HUMAN
HES4	Q9HCC6	reviewed	Transcription factor HES-4 (hHES4) (Class B basic helix-loop-helix protein 42) (bHLHb42) (Hairy and enhancer of split 4) (bHLH factor Hes4)	HES4 BHLHB42	221	HES4_HUMAN
ISG15	P05161	reviewed	Ubiquitin-like protein ISG15 (Interferon-induced 15 kDa protein) (Interferon-induced 17 kDa protein) (IP17) (Ubiquitin cross-reactive protein) (hUCRP)	ISG15 G1P2 UCRP	165	ISG15_HUMAN
AGRN	O00468	reviewed	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	AGRN AGRIN	2068	AGRIN_HUMAN
RNF223	E7ERA6	reviewed	RING finger protein 223	RNF223	249	RN223_HUMAN
C1orf159	Q96HA4	reviewed	Uncharacterized protein C1orf159	C1orf159 UNQ2998/PRO9739	380	CA159_HUMAN
TTLL10	Q6ZVT0	reviewed	Inactive polyglycylase TTLL10 (Tubulin--tyrosine ligase-like protein 10)	TTLL10	673	TTL10_HUMAN
TNFRSF18	Q9Y5U5	reviewed	Tumor necrosis factor receptor superfamily member 18 (Activation-inducible TNFR family receptor) (Glucocorticoid-induced TNFR-related protein) (CD antigen CD357)	TNFRSF18 AITR GITR UNQ319/PRO364	241	TNR18_HUMAN
TNFRSF4	P43489	reviewed	Tumor necrosis factor receptor superfamily member 4 (ACT35 antigen) (OX40L receptor) (TAX transcriptionally-activated glycoprotein 1 receptor) (CD antigen CD134)	TNFRSF4 TXGP1L	277	TNR4_HUMAN
SDF4	Q9BRK5	reviewed	45 kDa calcium-binding protein (Cab45) (Stromal cell-derived factor 4) (SDF-4)	SDF4 CAB45 PSEC0034	362	CAB45_HUMAN
B3GALT6	Q96L58	reviewed	Beta-1,3-galactosyltransferase 6 (Beta-1,3-GalTase 6) (Beta3Gal-T6) (Beta3GalT6) (EC 2.4.1.134) (GAG GalTII) (Galactosyltransferase II) (Galactosylxylosylprotein 3-beta-galactosyltransferase) (UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6)	B3GALT6	329	B3GT6_HUMAN
C1QTNF12	Q5T7M4	reviewed	Adipolin (Adipose-derived insulin-sensitizing factor) (C1q and TNF related protein 12) (Complement C1q tumor necrosis factor-related protein 12) [Cleaved into: Adipolin fC1QTNF12 (Adipolin fCTRP12) (Adipolin full-length form); Adipolin gC1QTNF12 (Adipolin cleaved form) (Adipolin gCTRP12)]	C1QTNF12 C1QDC2 CTRP12 FAM132A	302	ADIPL_HUMAN
UBE2J2	Q8N2K1	reviewed	Ubiquitin-conjugating enzyme E2 J2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme J2) (Non-canonical ubiquitin-conjugating enzyme 2) (NCUBE-2)	UBE2J2 NCUBE2	259	UB2J2_HUMAN
SCNN1D	P51172	reviewed	Epithelial sodium channel subunit delta (Delta-ENaC) (ENaCD) (Epithelial Na(+) channel subunit delta) (Amiloride-sensitive sodium channel subunit delta) (Delta-NaCH) (Nonvoltage-gated sodium channel 1 subunit delta) (SCNED)	SCNN1D DNACH	802	SCNND_HUMAN
ACAP3	Q96P50	reviewed	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3 (Centaurin-beta-5) (Cnt-b5)	ACAP3 CENTB5 KIAA1716	834	ACAP3_HUMAN
PUSL1	Q8N0Z8	reviewed	tRNA pseudouridine synthase-like 1 (EC 5.4.99.-) (tRNA pseudouridylate synthase-like 1) (tRNA-uridine isomerase-like 1)	PUSL1	303	PUSL1_HUMAN
INTS11	Q5TA45	reviewed	Integrator complex subunit 11 (Int11) (EC 3.1.27.-) (Cleavage and polyadenylation-specific factor 3-like protein) (CPSF3-like protein) (Protein related to CPSF subunits of 68 kDa) (RC-68)	INTS11 CPSF3L RC68	600	INT11_HUMAN
CPTP	Q5TA50	reviewed	Ceramide-1-phosphate transfer protein (CPTP) (Glycolipid transfer protein domain-containing protein 1) (GLTP domain-containing protein 1)	CPTP GLTPD1	214	CPTP_HUMAN
TAS1R3	Q7RTX0	reviewed	Taste receptor type 1 member 3 (Sweet taste receptor T1R3)	TAS1R3 T1R3 TR3	852	TS1R3_HUMAN
DVL1	O14640	reviewed	Segment polarity protein dishevelled homolog DVL-1 (Dishevelled-1) (DSH homolog 1)	DVL1	695	DVL1_HUMAN
DVL1	P54792	reviewed	Putative segment polarity protein dishevelled homolog DVL1P1 (DSH homolog 1-like) (Segment polarity protein dishevelled homolog DVL-1-like) (Dishevelled-1-like)	DVL1P1 DVL DVL1 DVL1L1	670	DVLP1_HUMAN
MXRA8	Q9BRK3	reviewed	Matrix remodeling-associated protein 8 (Limitrin)	MXRA8	442	MXRA8_HUMAN
AURKAIP1	Q9NWT8	reviewed	Small ribosomal subunit protein mS38 (28S ribosomal protein S38, mitochondrial) (MRP-S38) (Aurora kinase A-interacting protein) (AURKA-interacting protein)	AURKAIP1 AIP AKIP MRPS38	199	AKIP_HUMAN
CCNL2	Q96S94	reviewed	Cyclin-L2 (Paneth cell-enhanced expression protein)	CCNL2 SB138	520	CCNL2_HUMAN
MRPL20	Q9BYC9	reviewed	Large ribosomal subunit protein bL20m (39S ribosomal protein L20, mitochondrial) (L20mt) (MRP-L20)	MRPL20	149	RM20_HUMAN
ANKRD65	E5RJM6	reviewed	Ankyrin repeat domain-containing protein 65	ANKRD65	399	ANR65_HUMAN
TMEM88B	A6NKF7	reviewed	Transmembrane protein 278 (Transmembrane protein 88B)	TMEM278 TMEM88B	163	TM278_HUMAN
VWA1	Q6PCB0	reviewed	von Willebrand factor A domain-containing protein 1	VWA1	445	VWA1_HUMAN
ATAD3C	Q5T2N8	reviewed	ATPase family AAA domain-containing protein 3C	ATAD3C	411	ATD3C_HUMAN
ATAD3B	Q5T9A4	reviewed	ATPase family AAA domain-containing protein 3B (AAA-TOB3)	ATAD3B KIAA1273 TOB3	648	ATD3B_HUMAN
ATAD3A	Q9NVI7	reviewed	ATPase family AAA domain-containing protein 3A (EC 3.6.1.-)	ATAD3A	586	ATD3A_HUMAN
FNDC10	F2Z333	reviewed	Fibronectin type III domain-containing protein 10	FNDC10 C1orf233	226	FND10_HUMAN
MIB2	Q96AX9	reviewed	E3 ubiquitin-protein ligase MIB2 (EC 2.3.2.27) (Mind bomb homolog 2) (Novel zinc finger protein) (Novelzin) (Putative NF-kappa-B-activating protein 002N) (RING-type E3 ubiquitin transferase MIB2) (Skeletrophin) (Zinc finger ZZ type with ankyrin repeat domain protein 1)	MIB2 SKD ZZANK1	955	MIB2_HUMAN
MMP23B	O75900	reviewed	Matrix metalloproteinase-23 (MMP-23) (EC 3.4.24.-) (Femalysin) (MIFR-1) (Matrix metalloproteinase-21) (MMP-21) (Matrix metalloproteinase-22) (MMP-22) [Cleaved into: Matrix metalloproteinase-23, soluble form]	MMP23B MMP21 MMP22	390	MMP23_HUMAN
CDK11B	P21127	reviewed	Cyclin-dependent kinase 11B (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 1) (CLK-1) (Cell division protein kinase 11B) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L1) (p58 CLK-1)	CDK11B CDC2L1 CDK11 PITSLREA PK58	795	CD11B_HUMAN
SLC35E2B	P0CK96	reviewed	Solute carrier family 35 member E2B	SLC35E2B KIAA0447	405	S352B_HUMAN
CDK11A	Q9UQ88	reviewed	Cyclin-dependent kinase 11A (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 2) (Cell division protein kinase 11A) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L2)	CDK11A CDC2L2 CDC2L3 PITSLREB	783	CD11A_HUMAN
NADK	O95544	reviewed	NAD kinase (EC 2.7.1.23) (Poly(P)/ATP NAD kinase)	NADK	446	NADK_HUMAN
GNB1	P62873	reviewed	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1)	GNB1	340	GBB1_HUMAN
CALML6	Q8TD86	reviewed	Calmodulin-like protein 6 (Calglandulin-like protein)	CALML6 CAGLP CALGP	181	CALL6_HUMAN
TMEM52	Q8NDY8	reviewed	Transmembrane protein 52	TMEM52 UNQ3048/PRO9864	209	TMM52_HUMAN
CFAP74	Q9C0B2	reviewed	Cilia- and flagella-associated protein 74	CFAP74 C1orf222 KIAA1751	1584	CFA74_HUMAN
GABRD	O14764	reviewed	Gamma-aminobutyric acid receptor subunit delta (GABA(A) receptor subunit delta) (GABAAR subunit delta)	GABRD	452	GBRD_HUMAN
PRKCZ	Q05513	reviewed	Protein kinase C zeta type (EC 2.7.11.13) (nPKC-zeta)	PRKCZ PKC2	592	KPCZ_HUMAN
FAAP20	Q6NZ36	reviewed	Fanconi anemia core complex-associated protein 20 (FANCA-associated protein of 20 kDa) (Fanconi anemia-associated protein of 20 kDa)	FAAP20 C1orf86 FP7162	180	FAP20_HUMAN
SKI	P12755	reviewed	Ski oncogene (Proto-oncogene c-Ski)	SKI	728	SKI_HUMAN
MORN1	Q5T089	reviewed	MORN repeat-containing protein 1	MORN1	497	MORN1_HUMAN
RER1	O15258	reviewed	Protein RER1	RER1	196	RER1_HUMAN
PEX10	O60683	reviewed	Peroxisome biogenesis factor 10 (EC 2.3.2.27) (Peroxin-10) (Peroxisomal biogenesis factor 10) (Peroxisome assembly protein 10) (RING finger protein 69)	PEX10 RNF69	326	PEX10_HUMAN
PLCH2	O75038	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-eta-2) (Phosphoinositide phospholipase C-like 4) (PLC-L4) (Phospholipase C-like protein 4) (Phospholipase C-eta-2) (PLC-eta2)	PLCH2 KIAA0450 PLCL4	1416	PLCH2_HUMAN
PANK4	Q9NVE7	reviewed	4'-phosphopantetheine phosphatase (EC 3.1.3.-) (Inactive pantothenic acid kinase 4) (hPanK4)	PANK4	773	PANK4_HUMAN
HES5	Q5TA89	reviewed	Transcription factor HES-5 (Class B basic helix-loop-helix protein 38) (bHLHb38) (Hairy and enhancer of split 5)	HES5 BHLHB38	166	HES5_HUMAN
TNFRSF14	Q92956	reviewed	Tumor necrosis factor receptor superfamily member 14 (Herpes virus entry mediator A) (Herpesvirus entry mediator A) (HveA) (Tumor necrosis factor receptor-like 2) (TR2) (CD antigen CD270)	TNFRSF14 HVEA HVEM UNQ329/PRO509	283	TNR14_HUMAN
PRXL2B	Q8TBF2	reviewed	Prostamide/prostaglandin F synthase (Prostamide/PG F synthase) (Prostamide/PGF synthase) (EC 1.11.1.20) (Peroxiredoxin-like 2B) (Protein FAM213B)	PRXL2B C1orf93 FAM213B	198	PXL2B_HUMAN
MMEL1	Q495T6	reviewed	Membrane metallo-endopeptidase-like 1 (EC 3.4.24.11) (Membrane metallo-endopeptidase-like 2) (NEP2(m)) (Neprilysin II) (NEPII) (Neprilysin-2) (NEP2) (NL2) [Cleaved into: Membrane metallo-endopeptidase-like 1, soluble form (Neprilysin-2 secreted) (NEP2(s))]	MMEL1 MELL1 MMEL2 NEP2	779	MMEL1_HUMAN
TTC34	A8MYJ7	reviewed	Tetratricopeptide repeat protein 34 (TPR repeat protein 34)	TTC34	566	TTC34_HUMAN
ACTRT2	Q8TDY3	reviewed	Actin-related protein T2 (ARP-T2) (Actin-related protein M2)	ACTRT2 ARPM2	377	ACTT2_HUMAN
