Species	Symbol	Ensembl	Family	Protein	Entrez_ID	Uniprot	Entry
Homo_sapiens	ATF1	ENSG00000123268	TF_bZIP	ENSP00000262053.3;	466	P18846	ATF1_HUMAN
Homo_sapiens	NA	ENSG00000254553	ZBTB	ENSP00000455300.1;ENSP00000455300.1;	NA	NA	NA
Homo_sapiens	SOX3	ENSG00000134595	HMG	ENSP00000359567.2;	6658	P41225	SOX3_HUMAN
Homo_sapiens	SPIB	ENSG00000269404	ETS	ENSP00000391877.2;ENSP00000471921.1;	6689	Q01892	SPIB_HUMAN
Homo_sapiens	ZNF620	ENSG00000177842	zf-C2H2	ENSP00000391472.1;ENSP00000322265.6;	253639	Q6ZNG0	ZN620_HUMAN
Homo_sapiens	ZNF225	ENSG00000256294	zf-C2H2	ENSP00000262894.5;ENSP00000468686.1;	7768	Q9UK10	ZN225_HUMAN
Homo_sapiens	HOXD13	ENSG00000128714	Homeobox	ENSP00000376322.3;	3239	P35453	HXD13_HUMAN
Homo_sapiens	NR1D1	ENSG00000126368	THR-like	ENSP00000246672.3;	9572	P20393	NR1D1_HUMAN
Homo_sapiens	FOXJ3	ENSG00000198815	Fork_head	ENSP00000354620.1;ENSP00000361654.1;ENSP00000439044.1;ENSP00000393408.1;ENSP00000354449.1;ENSP00000361653.1;ENSP00000403060.1;	22887	Q9UPW0	FOXJ3_HUMAN
Homo_sapiens	ZBED3	ENSG00000132846	zf-BED	ENSP00000427487.1;ENSP00000255198.2;	84327	Q96IU2	ZBED3_HUMAN
Homo_sapiens	BCL6B	ENSG00000161940	ZBTB	ENSP00000293805.5;ENSP00000293805.5;ENSP00000460282.1;ENSP00000445010.2;ENSP00000460071.1;	255877	Q8N143	BCL6B_HUMAN
Homo_sapiens	HAND2	ENSG00000164107	bHLH	ENSP00000427084.1;ENSP00000352565.4;	9464	P61296	HAND2_HUMAN
Homo_sapiens	ZNF576	ENSG00000124444	zf-C2H2	ENSP00000435934.1;ENSP00000375827.2;ENSP00000435463.1;ENSP00000337852.4;ENSP00000436182.1;ENSP00000435899.1;	79177	Q9H609	ZN576_HUMAN
Homo_sapiens	TBX3	ENSG00000135111	T-box	ENSP00000257567.2;ENSP00000257566.3;	6926	O15119	TBX3_HUMAN
Homo_sapiens	FOXN2	ENSG00000170802	Fork_head	ENSP00000343633.3;ENSP00000388486.1;	3344	P32314	FOXN2_HUMAN
Homo_sapiens	BATF3	ENSG00000123685	TF_bZIP	ENSP00000243440.1;	55509	Q9NR55	BATF3_HUMAN
Homo_sapiens	ZNF792	ENSG00000180884	zf-C2H2	ENSP00000385099.1;ENSP00000474130.1;	126375	Q3KQV3	ZN792_HUMAN
Homo_sapiens	ZNF717	ENSG00000227124	zf-C2H2	ENSP00000498738.1;ENSP00000419377.1;	100131827	Q9BY31	ZN717_HUMAN
Homo_sapiens	RREB1	ENSG00000124782	zf-C2H2	ENSP00000369265.3;ENSP00000419511.1;ENSP00000305560.10;ENSP00000335574.6;ENSP00000369270.2;ENSP00000420519.1;ENSP00000420299.1;	6239	Q92766	RREB1_HUMAN
Homo_sapiens	NA	ENSG00000261459	zf-C2H2	ENSP00000454241.1;	NA	NA	NA
Homo_sapiens	ZFP57	ENSG00000204644	zf-C2H2	ENSP00000418259.2;ENSP00000366080.2;	346171	Q9NU63	ZFP57_HUMAN
Homo_sapiens	GATAD2A	ENSG00000167491	zf-GATA	ENSP00000353463.3;ENSP00000508398.1;ENSP00000351552.3;ENSP00000384899.2;	54815	Q86YP4	P66A_HUMAN
Homo_sapiens	AFF1	ENSG00000172493	AF-4	ENSP00000305689.6;ENSP00000424881.1;ENSP00000425755.1;ENSP00000378578.4;ENSP00000501252.1;ENSP00000424483.1;ENSP00000427593.1;ENSP00000424766.1;ENSP00000440843.3;	4299	P51825	AFF1_HUMAN
Homo_sapiens	ZSCAN21	ENSG00000166529	zf-C2H2	ENSP00000292450.4;	7589	Q9Y5A6	ZSC21_HUMAN
Homo_sapiens	NA	ENSG00000285708	Fork_head	ENSP00000497585.1;	NA	NA	NA
Homo_sapiens	HOXD8	ENSG00000175879	Homeobox	ENSP00000409026.2;ENSP00000315949.4;ENSP00000406045.1;ENSP00000437431.2;	3234	P13378	HXD8_HUMAN
Homo_sapiens	DMRT2	ENSG00000173253	DM	ENSP00000259622.6;ENSP00000489226.1;ENSP00000397494.2;ENSP00000371686.3;ENSP00000350865.2;ENSP00000371690.3;	10655	Q9Y5R5	DMRT2_HUMAN
Homo_sapiens	PAX1	ENSG00000125813	PAX	ENSP00000410355.2;ENSP00000481334.1;ENSP00000381499.2;	5075	P15863	PAX1_HUMAN
Homo_sapiens	ZFP91	ENSG00000186660	zf-C2H2	ENSP00000339030.5;	80829	Q96JP5	ZFP91_HUMAN
Homo_sapiens	ZNF30	ENSG00000168661	zf-C2H2	ENSP00000303889.7;ENSP00000403441.1;ENSP00000469954.1;	90075	P17039	ZNF30_HUMAN
Homo_sapiens	EGR4	ENSG00000135625	zf-C2H2	ENSP00000419687.1;ENSP00000445626.1;	NA	Q05215	EGR4_HUMAN
Homo_sapiens	ETV1	ENSG00000006468	ETS	ENSP00000384138.1;ENSP00000405327.1;ENSP00000385551.2;ENSP00000385686.1;ENSP00000382293.3;ENSP00000384085.4;ENSP00000242066.5;ENSP00000385381.2;ENSP00000411626.2;	2115	P50549	ETV1_HUMAN
Homo_sapiens	ZNF679	ENSG00000197123	zf-C2H2	ENSP00000416809.1;ENSP00000255746.4;	168417	Q8IYX0	ZN679_HUMAN
Homo_sapiens	TSC22D2	ENSG00000196428	TSC22	ENSP00000354543.2;ENSP00000510392.1;ENSP00000417747.1;	9819	O75157	T22D2_HUMAN
Homo_sapiens	ZNF236	ENSG00000130856	zf-C2H2	ENSP00000322361.9;ENSP00000463787.1;ENSP00000253159.8;ENSP00000444524.2;	7776	Q9UL36	ZN236_HUMAN
Homo_sapiens	ZBTB2	ENSG00000181472	ZBTB	ENSP00000323183.4;ENSP00000323183.4;	57621	Q8N680	ZBTB2_HUMAN
Homo_sapiens	NSD2	ENSG00000109685	HMG	ENSP00000425761.1;ENSP00000329167.5;ENSP00000504406.1;ENSP00000427516.2;ENSP00000372347.5;ENSP00000381311.1;ENSP00000423972.1;ENSP00000372348.2;ENSP00000308780.6;ENSP00000372351.3;ENSP00000421681.1;ENSP00000424482.1;ENSP00000399251.2;	7468	O96028	NSD2_HUMAN
Homo_sapiens	MYOG	ENSG00000122180	bHLH	ENSP00000241651.4;	4656	P15173	MYOG_HUMAN
Homo_sapiens	MEIS1	ENSG00000143995	Homeobox	ENSP00000454209.1;ENSP00000381518.2;ENSP00000440571.1;ENSP00000475161.1;ENSP00000272369.8;	NA	O00470	MEIS1_HUMAN
Homo_sapiens	ZNF32	ENSG00000169740	zf-C2H2	ENSP00000363556.2;ENSP00000379143.1;	7580	P17041	ZNF32_HUMAN
Homo_sapiens	HOXB6	ENSG00000108511	Homeobox	ENSP00000225648.3;ENSP00000420009.2;	3216	P17509	HXB6_HUMAN
Homo_sapiens	FOXE3	ENSG00000186790	Fork_head	ENSP00000334472.2;	NA	Q13461	FOXE3_HUMAN
Homo_sapiens	GTF2IRD1	ENSG00000006704	GTF2I	ENSP00000408477.2;ENSP00000418383.1;ENSP00000417909.1;ENSP00000265755.3;ENSP00000397566.2;	9569	Q9UHL9	GT2D1_HUMAN
Homo_sapiens	ZNF223	ENSG00000178386	zf-C2H2	ENSP00000401947.1;ENSP00000467647.1;	7766	Q9UK11	ZN223_HUMAN
Homo_sapiens	TLX3	ENSG00000164438	Homeobox	ENSP00000296921.5;	NA	O43711	TLX3_HUMAN
Homo_sapiens	FOXQ1	ENSG00000164379	Fork_head	ENSP00000296839.2;	94234	Q9C009	FOXQ1_HUMAN
Homo_sapiens	ALX3	ENSG00000156150	Homeobox	ENSP00000497310.1;ENSP00000497035.1;	NA	O95076	ALX3_HUMAN
Homo_sapiens	TSC22D1	ENSG00000102804	TSC22	ENSP00000261489.2;ENSP00000481585.1;ENSP00000397435.2;ENSP00000483407.1;	8848	Q15714	T22D1_HUMAN
Homo_sapiens	HOXA5	ENSG00000106004	Homeobox	ENSP00000222726.3;	3202	P20719	HXA5_HUMAN
Homo_sapiens	RFX3	ENSG00000080298	RFX	ENSP00000405664.1;ENSP00000351574.2;ENSP00000303847.2;ENSP00000482598.1;ENSP00000371434.3;	5991	P48380	RFX3_HUMAN
Homo_sapiens	PDX1	ENSG00000139515	Homeobox	ENSP00000370421.4;	3651	P52945	PDX1_HUMAN
Homo_sapiens	ELK1	ENSG00000126767	ETS	ENSP00000345585.4;ENSP00000247161.3;ENSP00000366182.3;	2002	P19419	ELK1_HUMAN
Homo_sapiens	ZNF316	ENSG00000205903	zf-C2H2	ENSP00000477706.1;	100131017	A6NFI3	ZN316_HUMAN
Homo_sapiens	ZNF268	ENSG00000090612	zf-C2H2	ENSP00000228289.5;ENSP00000444412.3;	10795	Q14587	ZN268_HUMAN
Homo_sapiens	SOX15	ENSG00000129194	HMG	ENSP00000458286.1;ENSP00000355354.2;ENSP00000439311.2;	6665	O60248	SOX15_HUMAN
Homo_sapiens	PGR	ENSG00000082175	ESR-like	ENSP00000325120.5;ENSP00000436561.1;ENSP00000482698.1;ENSP00000432914.1;ENSP00000436803.1;ENSP00000432352.1;ENSP00000487607.1;ENSP00000263463.5;	5241	P06401	PRGR_HUMAN
Homo_sapiens	TRPS1	ENSG00000104447	zf-GATA	ENSP00000428910.1;ENSP00000428680.1;ENSP00000220888.5;ENSP00000379065.3;ENSP00000428121.1;ENSP00000492037.1;	7227	Q9UHF7	TRPS1_HUMAN
Homo_sapiens	MAZ	ENSG00000103495	zf-C2H2	ENSP00000458201.1;ENSP00000455913.1;ENSP00000219782.6;ENSP00000443956.1;ENSP00000461630.1;ENSP00000460057.1;ENSP00000313362.6;ENSP00000455794.1;	4150	P56270	MAZ_HUMAN
Homo_sapiens	NKX6-2	ENSG00000148826	Homeobox	ENSP00000357581.5;	84504	Q9C056	NKX62_HUMAN
Homo_sapiens	NR4A3	ENSG00000119508	NGFIB-like	ENSP00000333122.1;ENSP00000482027.1;ENSP00000378531.2;ENSP00000340301.4;	8013	Q92570	NR4A3_HUMAN
Homo_sapiens	UBTFL1	ENSG00000255009	HMG	ENSP00000485108.1;	642623	P0CB47	UBFL1_HUMAN
Homo_sapiens	CEBPB	ENSG00000172216	TF_bZIP	ENSP00000305422.3;	1051	P17676	CEBPB_HUMAN
Homo_sapiens	ZNF354A	ENSG00000169131	zf-C2H2	ENSP00000337122.2;	6940	O60765	Z354A_HUMAN
Homo_sapiens	CEBPD	ENSG00000221869	TF_bZIP	ENSP00000386165.3;	1052	P49716	CEBPD_HUMAN
Homo_sapiens	ZNF135	ENSG00000176293	zf-C2H2	ENSP00000321406.5;ENSP00000427691.1;ENSP00000369437.4;ENSP00000422074.1;ENSP00000441410.1;	7694	P52742	ZN135_HUMAN
Homo_sapiens	NKX2-3	ENSG00000119919	Homeobox	ENSP00000342828.7;	NA	Q8TAU0	NKX23_HUMAN
Homo_sapiens	SOX2	ENSG00000181449	HMG	ENSP00000323588.1;	6657	P48431	SOX2_HUMAN
Homo_sapiens	MAFF	ENSG00000185022	TF_bZIP	ENSP00000388882.2;ENSP00000441482.1;ENSP00000345393.2;ENSP00000442060.1;ENSP00000416493.1;ENSP00000391589.1;ENSP00000384094.1;	23764	Q9ULX9	MAFF_HUMAN
Homo_sapiens	ZBTB45	ENSG00000119574	ZBTB	ENSP00000346603.2;ENSP00000346603.2;ENSP00000469089.1;ENSP00000470316.1;ENSP00000473072.1;	84878	Q96K62	ZBT45_HUMAN
Homo_sapiens	ZNF461	ENSG00000197808	zf-C2H2	ENSP00000467931.1;ENSP00000479585.1;ENSP00000353515.4;	92283	Q8TAF7	ZN461_HUMAN
Homo_sapiens	SP2	ENSG00000167182	zf-C2H2	ENSP00000365931.4;	6668	Q02086	SP2_HUMAN
Homo_sapiens	PINX1	ENSG00000258724	HMG	ENSP00000451145.1;	54984	NA	NA
Homo_sapiens	ZNF500	ENSG00000103199	zf-C2H2	ENSP00000445714.1;ENSP00000464747.1;ENSP00000219478.5;	26048	O60304	ZN500_HUMAN
Homo_sapiens	ESRRB	ENSG00000119715	ESR-like	ENSP00000423004.1;ENSP00000424992.2;ENSP00000493776.1;ENSP00000422488.1;ENSP00000494434.1;ENSP00000370270.2;	2103	O95718	ERR2_HUMAN
Homo_sapiens	ZNF439	ENSG00000171291	zf-C2H2	ENSP00000305077.2;ENSP00000395632.1;ENSP00000506930.1;	90594	Q8NDP4	ZN439_HUMAN
Homo_sapiens	NOBOX	ENSG00000106410	Homeobox	ENSP00000496732.1;ENSP00000419457.1;ENSP00000495343.1;ENSP00000419565.1;	135935	O60393	NOBOX_HUMAN
Homo_sapiens	ZNF581	ENSG00000171425	zf-C2H2	ENSP00000466047.1;ENSP00000270451.4;ENSP00000466564.1;ENSP00000466338.1;	51545	Q9P0T4	ZN581_HUMAN
